#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Id","Running Processes"
"RuntimeBroker","17896","01:22:09.2357816"
"RuntimeBroker","17956","01:20:57.1383424"
"RuntimeBroker","18004","01:21:17.8156024"
"RuntimeBroker","11048","01:22:15.4132808"
"RuntimeBroker","12420","01:22:18.2143642"
"RuntimeBroker","14828","00:02:51.0753551"
"SecurityHealthSystray","12268","01:22:07.1369205"
"SettingSyncHost","9592","01:22:17.0937538"
"ShellExperienceHost","9908","00:02:51.2823681"
"RuntimeBroker","18152","01:22:17.6456114"
"SearchProtocolHost","10448","00:02:53.2510761"
"SearchUI","12144","01:22:00.3805256"
"powershell","8908","00:00:01.1901108"
"PWRISOVM","1996","01:21:55.4045422"
"pycharm64","16852","00:26:57.4421431"
"OneDrive","9780","01:22:05.7150772"
"ONENOTEM","4312","01:21:55.6383255"
"openvpn-gui","15576","01:21:59.9071023"
"RtkAudUService64","12592","01:22:06.6562035"
"RuntimeBroker","1920","01:19:48.3684977"
"RuntimeBroker","7684","01:21:28.1379285"
"python","412","00:00:01.2435369"
"python","8604","00:00:01.2902714"
"RemindersServer","1600","01:22:17.2223787"
"Teams","13092","01:21:54.8643561"
"Teams","17180","01:21:54.5352661"
"vlc","9432","00:02:01.0613407"
"Teams","8496","01:21:56.7125670"
"Teams","8824","01:21:44.9178212"
"Teams","9848","01:21:55.3707692"
"WinStore.App","9984","01:21:28.9901191"
"WSHelper","11520","01:21:53.5542558"
"YourPhone","10076","01:22:10.3510221"
"vmware-tray","1584","01:21:55.1126211"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","17792","00:20:50.5110027"
"winpty-agent","5860","00:25:48.2110671"
"StartMenuExperienceHost","11948","01:22:18.5207063"
"svchost","4824","01:22:19.7778017"
"svchost","12572","01:22:19.1820841"
"sihost","10864","01:22:19.6900620"
"SkypeApp","11736","01:22:10.2098531"
"SkypeBackgroundHost","992","01:22:17.2770180"
"SynTPEnh","5348","01:22:20.0785341"
"SystemSettings","15256","01:21:07.9278281"
"taskhostw","10332","01:22:19.6597186"
"svchost","12764","01:22:19.8157796"
"svchost","13316","01:22:19.7914310"
"svchost","13712","01:20:58.3184697"
"NVIDIA Web Helper","11272","01:22:16.8967372"
"chrome","12924","01:20:56.6142935"
